,UT,indirect_count,direct_count,target
135,DIIDW:2006559196,0,1.0,0.5
136,DIIDW:2004394509,5,2.0,3.5
137,DIIDW:2010F06089,2,3.0,2.5
138,DIIDW:2012B71886,0,1.0,0.5
139,DIIDW:1999478670,1,1.0,1.0
140,DIIDW:2011C89980,1,1.0,1.0
141,DIIDW:1997387382,2,1.0,1.5
142,DIIDW:2011N71294,0,2.0,1.0
143,DIIDW:2009E95642,4,2.0,3.0
144,DIIDW:2012K16552,0,1.0,0.5
145,DIIDW:2012J39833,3,2.0,2.5
146,DIIDW:2011A98745,0,1.0,0.5
147,DIIDW:2011J46491,3,1.0,2.0
148,DIIDW:2011K97715,1,1.0,1.0
149,DIIDW:2006702376,2,2.0,2.0
150,DIIDW:2009M19022,3,2.0,2.5
151,DIIDW:2010F96700,0,2.0,1.0
152,DIIDW:2007873376,0,3.0,1.5
153,DIIDW:2011F44696,6,6.0,6.0
154,DIIDW:2011K97784,0,1.0,0.5
155,DIIDW:2009E71632,3,1.0,2.0
156,DIIDW:2006319443,4,2.0,3.0
157,DIIDW:2007223695,3,2.0,2.5
158,DIIDW:2012B43885,6,5.0,5.5
159,DIIDW:2011G67187,6,3.0,4.5
160,DIIDW:2010H37338,1,1.0,1.0
161,DIIDW:2013F21821,1,1.0,1.0
162,DIIDW:2009H95634,7,8.0,7.5
163,DIIDW:2003618160,5,3.0,4.0
164,DIIDW:2012B34037,4,2.0,3.0
165,DIIDW:2012H87741,1,2.0,1.5
166,DIIDW:2011L11355,1,1.0,1.0
167,DIIDW:2012A71438,18,8.0,13.0
168,DIIDW:2010A42415,0,2.0,1.0
169,DIIDW:2012B84216,6,5.0,5.5
170,DIIDW:2003706558,0,1.0,0.5
171,DIIDW:2011H84128,2,2.0,2.0
172,DIIDW:2011F56786,4,6.0,5.0
173,DIIDW:2013B66209,1,1.0,1.0
174,DIIDW:2011P99715,1,1.0,1.0
175,DIIDW:2007824415,0,1.0,0.5
176,DIIDW:2010D57585,0,1.0,0.5
177,DIIDW:2010A15345,0,2.0,1.0
178,DIIDW:2010L06577,0,2.0,1.0
179,DIIDW:2012L49498,0,2.0,1.0
180,DIIDW:2011P85431,2,2.0,2.0
181,DIIDW:2012G96600,0,5.0,2.5
182,DIIDW:2013J75813,0,1.0,0.5
183,DIIDW:2013E10574,2,2.0,2.0
184,DIIDW:2013K58177,2,1.0,1.5
185,DIIDW:2010L36959,1,1.0,1.0
186,DIIDW:2011A38695,8,5.0,6.5
187,DIIDW:2014N67310,13,1.0,7.0
188,DIIDW:2012B49759,18,8.0,13.0
189,DIIDW:2007291443,16,2.0,9.0
190,DIIDW:2009H20373,25,14.0,19.5
191,DIIDW:2013F07199,18,13.0,15.5
192,DIIDW:2012B60441,18,9.0,13.5
193,DIIDW:2013F07294,9,6.0,7.5
194,DIIDW:2011P84139,10,13.0,11.5
195,DIIDW:2011K26534,1,1.0,1.0
196,DIIDW:2013H45274,1,1.0,1.0
197,DIIDW:2013D91804,0,2.0,1.0
198,DIIDW:2009H79246,0,1.0,0.5
199,DIIDW:2011G29579,1,3.0,2.0
200,DIIDW:2011G67188,4,3.0,3.5
201,DIIDW:2009L06081,9,3.0,6.0
202,DIIDW:2011Q33362,8,2.0,5.0
203,DIIDW:2008A80571,2,2.0,2.0
204,DIIDW:2005759986,0,1.0,0.5
205,DIIDW:2005759987,0,1.0,0.5
206,DIIDW:2011M80267,7,2.0,4.5
207,DIIDW:2013U35947,7,4.0,5.5
208,DIIDW:2012L33076,1,2.0,1.5
209,DIIDW:2013D50524,0,3.0,1.5
210,DIIDW:2011F18309,3,3.0,3.0
211,DIIDW:2013M45460,1,1.0,1.0
212,DIIDW:2008M92292,0,1.0,0.5
213,DIIDW:2005652269,0,3.0,1.5
214,DIIDW:2012H56413,0,2.0,1.0
215,DIIDW:2011H38910,3,1.0,2.0
216,DIIDW:2010Q33806,4,5.0,4.5
217,DIIDW:2012H92143,1,1.0,1.0
218,DIIDW:2012R45956,12,12.0,12.0
219,DIIDW:2013E54975,2,5.0,3.5
220,DIIDW:2011F33048,0,1.0,0.5
221,DIIDW:2005633132,5,3.0,4.0
222,DIIDW:2012K88223,1,1.0,1.0
223,DIIDW:2010E26837,3,2.0,2.5
224,DIIDW:2013J62296,8,3.0,5.5
225,DIIDW:2005249911,4,2.0,3.0
226,DIIDW:2009G15326,0,3.0,1.5
227,DIIDW:2008G06815,8,6.0,7.0
