,UT,indirect_count,direct_count,target
581,DIIDW:201619481G,1,3.0,2.0
582,DIIDW:201554137K,0,1.0,0.5
583,DIIDW:201639834J,0,1.0,0.5
584,DIIDW:201639834K,0,2.0,1.0
585,DIIDW:201649074T,0,1.0,0.5
586,DIIDW:201539419B,1,1.0,1.0
587,DIIDW:2016766656,0,1.0,0.5
588,DIIDW:2014T19432,0,2.0,1.0
589,DIIDW:201664131K,0,1.0,0.5
590,DIIDW:201674387K,2,1.0,1.5
591,DIIDW:2014K53570,3,1.0,2.0
592,DIIDW:2008M74467,4,2.0,3.0
593,DIIDW:201649074U,3,2.0,2.5
594,DIIDW:201556806M,2,4.0,3.0
595,DIIDW:201565799T,2,3.0,2.5
596,DIIDW:201550101V,0,1.0,0.5
597,DIIDW:2012N46325,0,1.0,0.5
598,DIIDW:2008N69565,0,1.0,0.5
599,DIIDW:2015690029,1,1.0,1.0
600,DIIDW:2016287702,0,3.0,1.5
601,DIIDW:2014B74446,0,1.0,0.5
602,DIIDW:201715609X,0,1.0,0.5
603,DIIDW:201656614U,1,1.0,1.0
604,DIIDW:2014N33185,0,1.0,0.5
605,DIIDW:2016080089,2,1.0,1.5
606,DIIDW:2015607796,2,2.0,2.0
607,DIIDW:201705423M,2,1.0,1.5
608,DIIDW:201652092A,4,2.0,3.0
609,DIIDW:2012B87676,0,1.0,0.5
610,DIIDW:2014D75201,0,1.0,0.5
611,DIIDW:2012N43392,0,1.0,0.5
612,DIIDW:2013S64868,0,1.0,0.5
613,DIIDW:201513674G,1,1.0,1.0
614,DIIDW:1998086405,0,1.0,0.5
615,DIIDW:201661530U,0,1.0,0.5
616,DIIDW:2013J12925,0,1.0,0.5
617,DIIDW:201720855K,0,1.0,0.5
618,DIIDW:201640659M,0,6.0,3.0
619,DIIDW:201644392F,0,1.0,0.5
620,DIIDW:201577434K,0,2.0,1.0
621,DIIDW:201702589A,0,1.0,0.5
622,DIIDW:201640732L,0,2.0,1.0
623,DIIDW:2017035830,0,1.0,0.5
624,DIIDW:2014T49740,0,1.0,0.5
625,DIIDW:2012N79451,0,1.0,0.5
626,DIIDW:201677138G,0,1.0,0.5
627,DIIDW:201628232Q,1,1.0,1.0
628,DIIDW:201672649R,1,1.0,1.0
629,DIIDW:201561234R,1,3.0,2.0
630,DIIDW:201567671K,2,1.0,1.5
631,DIIDW:2016707526,2,2.0,2.0
632,DIIDW:201559837J,2,1.0,1.5
633,DIIDW:2007835559,0,2.0,1.0
634,DIIDW:201508834G,0,1.0,0.5
635,DIIDW:201606800W,0,2.0,1.0
636,DIIDW:201522162N,0,1.0,0.5
637,DIIDW:2016302773,0,2.0,1.0
638,DIIDW:2015095675,1,1.0,1.0
639,DIIDW:201671715D,1,1.0,1.0
640,DIIDW:2008N09510,0,1.0,0.5
641,DIIDW:2009N83826,0,1.0,0.5
642,DIIDW:2013P48555,1,1.0,1.0
643,DIIDW:201541992U,0,2.0,1.0
644,DIIDW:2012C70240,0,1.0,0.5
645,DIIDW:2013Q28285,0,1.0,0.5
646,DIIDW:201702538U,0,1.0,0.5
647,DIIDW:201564219H,0,1.0,0.5
648,DIIDW:2013R60431,0,2.0,1.0
649,DIIDW:2012B62662,0,1.0,0.5
650,DIIDW:2013H64381,0,1.0,0.5
651,DIIDW:2016243831,0,3.0,1.5
652,DIIDW:2016529896,0,2.0,1.0
653,DIIDW:201661530W,0,1.0,0.5
654,DIIDW:201725128Y,0,1.0,0.5
655,DIIDW:2010E77758,0,2.0,1.0
656,DIIDW:201572676D,0,1.0,0.5
657,DIIDW:201721776W,0,1.0,0.5
658,DIIDW:2015187588,0,1.0,0.5
659,DIIDW:201558359J,0,1.0,0.5
660,DIIDW:2012P46796,0,1.0,0.5
661,DIIDW:2013Q45054,0,2.0,1.0
662,DIIDW:201613180B,0,1.0,0.5
663,DIIDW:2017282853,0,1.0,0.5
664,DIIDW:201658535Y,0,2.0,1.0
665,DIIDW:201627425A,0,1.0,0.5
666,DIIDW:2017276726,0,1.0,0.5
667,DIIDW:2012H07223,0,2.0,1.0
668,DIIDW:201545860P,0,2.0,1.0
669,DIIDW:2013T01595,0,2.0,1.0
670,DIIDW:201729327Y,0,1.0,0.5
671,DIIDW:2016008490,0,1.0,0.5
672,DIIDW:2015188800,0,2.0,1.0
673,DIIDW:2016301978,0,1.0,0.5
674,DIIDW:201652050U,0,1.0,0.5
675,DIIDW:2016073215,5,2.0,3.5
676,DIIDW:2012K16556,2,1.0,1.5
677,DIIDW:201643171K,0,1.0,0.5
678,DIIDW:201537057W,1,2.0,1.5
679,DIIDW:2014D40434,0,1.0,0.5
680,DIIDW:201537393S,0,1.0,0.5
681,DIIDW:201524708S,0,1.0,0.5
682,DIIDW:201626606F,0,4.0,2.0
683,DIIDW:2014R02261,2,2.0,2.0
684,DIIDW:201634163G,2,1.0,1.5
685,DIIDW:2016520929,0,1.0,0.5
686,DIIDW:201626115M,0,1.0,0.5
687,DIIDW:2016298815,1,2.0,1.5
688,DIIDW:2010L41641,0,1.0,0.5
689,DIIDW:201639093L,0,1.0,0.5
690,DIIDW:2015479924,0,1.0,0.5
691,DIIDW:2014P28601,0,1.0,0.5
692,DIIDW:201730607D,0,1.0,0.5
693,DIIDW:201736703B,0,1.0,0.5
694,DIIDW:201550734Y,0,1.0,0.5
695,DIIDW:201729224V,0,1.0,0.5
696,DIIDW:201723290Q,0,1.0,0.5
697,DIIDW:201672587A,0,1.0,0.5
698,DIIDW:201756095B,0,1.0,0.5
699,DIIDW:2014F15798,0,1.0,0.5
700,DIIDW:201643171J,3,4.0,3.5
701,DIIDW:201729200V,0,1.0,0.5
702,DIIDW:2015291690,3,1.0,2.0
703,DIIDW:201668828Q,0,2.0,1.0
704,DIIDW:201565884L,0,1.0,0.5
705,DIIDW:201646554K,0,2.0,1.0
706,DIIDW:201534479B,0,1.0,0.5
707,DIIDW:201649835D,0,1.0,0.5
708,DIIDW:2016476271,0,1.0,0.5
709,DIIDW:2014E53299,0,2.0,1.0
710,DIIDW:201646277C,0,3.0,1.5
711,DIIDW:2013G87274,0,1.0,0.5
712,DIIDW:2017412886,0,1.0,0.5
713,DIIDW:2017531900,0,1.0,0.5
714,DIIDW:2017439570,2,2.0,2.0
715,DIIDW:1987037226,0,1.0,0.5
716,DIIDW:201659187W,0,1.0,0.5
717,DIIDW:201736716M,0,1.0,0.5
718,DIIDW:2017367037,0,1.0,0.5
719,DIIDW:201736716P,0,1.0,0.5
720,DIIDW:201534978K,0,1.0,0.5
721,DIIDW:2017367039,0,1.0,0.5
722,DIIDW:201736703D,0,1.0,0.5
723,DIIDW:2012F45299,0,3.0,1.5
724,DIIDW:201736716T,0,1.0,0.5
725,DIIDW:201645220P,0,2.0,1.0
726,DIIDW:201757808G,0,1.0,0.5
727,DIIDW:2015523763,0,1.0,0.5
728,DIIDW:2010A22460,0,1.0,0.5
729,DIIDW:2014R14611,1,2.0,1.5
730,DIIDW:2015267133,1,1.0,1.0
731,DIIDW:2014U13210,0,2.0,1.0
732,DIIDW:2009R66133,0,1.0,0.5
733,DIIDW:2016241743,0,1.0,0.5
734,DIIDW:201502342X,0,1.0,0.5
735,DIIDW:2015485920,0,1.0,0.5
736,DIIDW:201600387E,0,1.0,0.5
737,DIIDW:2015467991,0,1.0,0.5
738,DIIDW:2016688271,1,1.0,1.0
739,DIIDW:201736750H,0,1.0,0.5
740,DIIDW:201557195C,0,1.0,0.5
741,DIIDW:2016686241,0,1.0,0.5
742,DIIDW:2011A45122,1,2.0,1.5
743,DIIDW:201758583C,0,1.0,0.5
744,DIIDW:201646277E,0,2.0,1.0
745,DIIDW:201646277H,0,2.0,1.0
746,DIIDW:201764426D,0,1.0,0.5
747,DIIDW:2016073214,0,2.0,1.0
748,DIIDW:201603255A,0,1.0,0.5
749,DIIDW:2015467993,0,1.0,0.5
750,DIIDW:2013T01596,0,1.0,0.5
751,DIIDW:2017619864,0,1.0,0.5
752,DIIDW:2015122887,0,1.0,0.5
753,DIIDW:2017577904,0,1.0,0.5
754,DIIDW:2014Q22767,0,1.0,0.5
755,DIIDW:2017367038,0,1.0,0.5
756,DIIDW:2014S58596,0,1.0,0.5
757,DIIDW:2014T19422,0,1.0,0.5
758,DIIDW:2016546961,2,1.0,1.5
759,DIIDW:2016598255,2,1.0,1.5
760,DIIDW:201758583B,0,1.0,0.5
761,DIIDW:2013N56510,0,1.0,0.5
762,DIIDW:2016315916,0,2.0,1.0
763,DIIDW:2017013391,0,1.0,0.5
764,DIIDW:201622085A,1,2.0,1.5
765,DIIDW:2014U67784,1,1.0,1.0
766,DIIDW:2015560361,1,1.0,1.0
767,DIIDW:201569587R,2,2.0,2.0
768,DIIDW:201644029T,0,1.0,0.5
769,DIIDW:2014N75996,0,1.0,0.5
770,DIIDW:201574246R,0,1.0,0.5
771,DIIDW:201631766C,0,1.0,0.5
772,DIIDW:201672811V,0,1.0,0.5
773,DIIDW:2015637185,0,3.0,1.5
774,DIIDW:2017097192,0,1.0,0.5
775,DIIDW:2013K17247,0,1.0,0.5
776,DIIDW:201501667K,0,1.0,0.5
777,DIIDW:2017801032,0,1.0,0.5
778,DIIDW:201537561J,0,3.0,1.5
779,DIIDW:201639834G,0,3.0,1.5
780,DIIDW:2012A73558,0,1.0,0.5
781,DIIDW:2016315918,0,1.0,0.5
782,DIIDW:2017801031,0,1.0,0.5
783,DIIDW:201718480D,0,2.0,1.0
784,DIIDW:201707252T,0,2.0,1.0
785,DIIDW:201556806J,0,1.0,0.5
786,DIIDW:201641671E,0,1.0,0.5
787,DIIDW:2015700020,0,1.0,0.5
788,DIIDW:201550241F,0,1.0,0.5
789,DIIDW:201565852C,0,1.0,0.5
790,DIIDW:201552126B,0,1.0,0.5
791,DIIDW:2013S86636,0,1.0,0.5
792,DIIDW:201715189K,0,1.0,0.5
793,DIIDW:2013X35438,0,1.0,0.5
794,DIIDW:2016688273,0,1.0,0.5
795,DIIDW:201526844B,0,1.0,0.5
796,DIIDW:201619990B,0,1.0,0.5
797,DIIDW:2017216401,0,1.0,0.5
798,DIIDW:201505206K,0,1.0,0.5
799,DIIDW:2013K66356,0,1.0,0.5
800,DIIDW:201562632G,0,1.0,0.5
801,DIIDW:201608296E,0,1.0,0.5
802,DIIDW:201674757V,0,1.0,0.5
803,DIIDW:2014T82290,0,1.0,0.5
804,DIIDW:2004460921,0,1.0,0.5
805,DIIDW:201600414M,0,1.0,0.5
806,DIIDW:201553216S,0,1.0,0.5
807,DIIDW:201542289Y,0,1.0,0.5
808,DIIDW:201741429K,0,1.0,0.5
809,DIIDW:2015711723,0,1.0,0.5
810,DIIDW:201668828P,0,1.0,0.5
811,DIIDW:2010L06580,0,1.0,0.5
812,DIIDW:2014R14622,0,1.0,0.5
813,DIIDW:201552771D,0,4.0,2.0
814,DIIDW:201643462H,0,1.0,0.5
815,DIIDW:201715189Q,0,3.0,1.5
816,DIIDW:2017375999,0,2.0,1.0
817,DIIDW:201705843F,0,2.0,1.0
818,DIIDW:201743876E,0,2.0,1.0
819,DIIDW:201729708F,0,1.0,0.5
820,DIIDW:201757000H,0,1.0,0.5
821,DIIDW:2011H89183,0,1.0,0.5
822,DIIDW:201705843D,0,3.0,1.5
823,DIIDW:201830984E,0,1.0,0.5
824,DIIDW:2017395831,0,2.0,1.0
825,DIIDW:2014P57918,0,2.0,1.0
826,DIIDW:2007023672,0,1.0,0.5
827,DIIDW:201648033X,0,1.0,0.5
828,DIIDW:201707479Q,0,1.0,0.5
829,DIIDW:1998520554,0,1.0,0.5
830,DIIDW:2013F11631,0,1.0,0.5
831,DIIDW:201608910B,0,1.0,0.5
832,DIIDW:2016012646,0,1.0,0.5
833,DIIDW:2012L76950,0,1.0,0.5
834,DIIDW:201815474J,0,1.0,0.5
835,DIIDW:2014K90161,0,1.0,0.5
836,DIIDW:2013N17380,0,1.0,0.5
837,DIIDW:2017552502,0,2.0,1.0
838,DIIDW:201814895Y,1,1.0,1.0
839,DIIDW:201722957U,0,1.0,0.5
840,DIIDW:2016728102,0,1.0,0.5
841,DIIDW:201731334W,0,1.0,0.5
842,DIIDW:2011B40074,0,1.0,0.5
843,DIIDW:2016697071,0,1.0,0.5
844,DIIDW:201734193V,0,1.0,0.5
845,DIIDW:2017434155,0,1.0,0.5
846,DIIDW:201631694Y,0,1.0,0.5
847,DIIDW:201622631V,0,1.0,0.5
848,DIIDW:2012M53951,0,1.0,0.5
849,DIIDW:2016791399,0,1.0,0.5
850,DIIDW:201636342S,0,1.0,0.5
851,DIIDW:201741445W,0,1.0,0.5
852,DIIDW:2014J95889,0,2.0,1.0
853,DIIDW:2014M26001,0,2.0,1.0
